iter	Logloss
0	0.6083562374
1	0.5504640186
2	0.4912020534
3	0.4418040765
4	0.3986566817
5	0.3620439982
6	0.3322141761
7	0.3053604284
8	0.2857958388
9	0.2674720525
10	0.2504200966
11	0.2359189077
12	0.2236791512
13	0.2144967672
14	0.2059852565
15	0.1970561882
16	0.189148127
17	0.1840666202
18	0.1789086491
19	0.1718924415
20	0.1676759919
21	0.1623073015
22	0.1578249378
23	0.1554240358
24	0.1517978922
25	0.1478134525
26	0.1448417115
27	0.1424123702
28	0.1392944137
29	0.1358562541
30	0.133051849
31	0.1314068898
32	0.1298729403
33	0.1275478818
34	0.1250317425
35	0.1229685157
36	0.1209835692
37	0.1188020535
38	0.1168617036
39	0.1152317854
40	0.1132959893
41	0.1120575316
42	0.1105863197
43	0.1089769315
44	0.108430617
45	0.1070607429
46	0.1055516336
47	0.103813471
48	0.1028440876
49	0.1011578557
50	0.1008522148
51	0.09979603845
52	0.09875350454
53	0.09725721651
54	0.0963037717
55	0.09496781487
56	0.0947984844
57	0.0935367168
58	0.09237967476
59	0.09169895877
60	0.0909496776
61	0.09031462089
62	0.08975471039
63	0.08894540899
64	0.08854678972
65	0.08779228999
66	0.0869602085
67	0.08635325973
68	0.08568783517
69	0.08558528295
70	0.08482030492
71	0.08425648115
72	0.08357549237
73	0.0830652912
74	0.08290991251
75	0.08243627327
76	0.08168460553
77	0.08128177525
78	0.08122526375
79	0.08043944793
80	0.0798857447
81	0.07917088694
82	0.07840706978
83	0.07767834029
84	0.07713859134
85	0.07661007304
86	0.07655399698
87	0.07624469425
88	0.07564115446
89	0.07554361095
90	0.07478222405
91	0.07440631881
92	0.07437315331
93	0.07409075811
94	0.07386261841
95	0.07350623097
96	0.07299595961
97	0.07290010516
98	0.07232667014
99	0.07207574092
100	0.07204685797
101	0.07178396999
102	0.07129977457
103	0.07127604999
104	0.07098999925
105	0.07051667731
106	0.07034715571
107	0.0703382705
108	0.06966087949
109	0.06961177521
110	0.06935028992
111	0.06864523958
112	0.06823289479
113	0.06788484064
114	0.06735026534
115	0.06719863176
116	0.06678739883
117	0.06637045165
118	0.06634055383
119	0.06616204483
120	0.06578407198
121	0.06574781954
122	0.06520158238
123	0.06497719567
124	0.06494516105
125	0.06443755205
126	0.0643094419
127	0.06381561143
128	0.06343118997
129	0.06340130982
130	0.063283092
131	0.06292497504
132	0.06287078121
133	0.06253470509
134	0.06248563933
135	0.06222953641
136	0.0619699083
137	0.06189383098
138	0.06179381537
139	0.06146212753
140	0.06102145252
141	0.06061016745
142	0.06018792079
143	0.05985720027
144	0.05963648236
145	0.05937233751
146	0.05913015583
147	0.05885962924
148	0.05847092099
149	0.05840388354
150	0.05822034396
151	0.05819531047
152	0.05796774056
153	0.05759408586
154	0.05748620218
155	0.05723514134
156	0.05694995089
157	0.05669015251
158	0.0565066353
159	0.05649065754
160	0.0561068441
161	0.05575811258
162	0.0557312698
163	0.05529489022
164	0.05507539973
165	0.05476557855
166	0.05456568215
167	0.05431825146
168	0.05397505309
169	0.0539605895
170	0.05381630682
171	0.05364113491
172	0.05359046223
173	0.05330762226
174	0.05304288744
175	0.05290591201
176	0.05259233715
177	0.0522981201
178	0.05199639743
179	0.05179202381
180	0.05158663033
181	0.05136118651
182	0.05114209781
183	0.05098184878
184	0.05072606776
185	0.05047568771
186	0.05032359532
187	0.05010215884
188	0.0499289723
189	0.04973944235
190	0.04927246105
191	0.04897713843
192	0.04870070782
193	0.04849803854
194	0.04832326332
195	0.04820356059
196	0.04806575107
197	0.04786102455
198	0.04778159482
199	0.04756809665
200	0.04743315034
201	0.04724216293
202	0.04699018797
203	0.04680189331
204	0.04656913681
205	0.04624369628
206	0.04616539587
207	0.04590155543
208	0.04566522648
209	0.0454235765
210	0.04530353475
211	0.04511099878
212	0.04489278308
213	0.04485471856
214	0.04474496318
215	0.04459521282
216	0.04455145181
217	0.04444867972
218	0.04432630579
219	0.04409634612
220	0.04389956677
221	0.04372662471
222	0.0435401856
223	0.04333791698
224	0.04318884856
225	0.04303036412
226	0.04277124902
227	0.04256475386
228	0.0422923541
229	0.04209516625
230	0.04201503877
231	0.04163918457
232	0.04146205883
233	0.04129632696
234	0.04114736471
235	0.04094962583
236	0.0408148877
237	0.04069993992
238	0.04061671415
239	0.04057875655
240	0.04045039657
241	0.04038022065
242	0.04025227999
243	0.04014283016
244	0.03998077077
245	0.03977996229
246	0.0396183401
247	0.03951495195
248	0.03945234337
249	0.03934255887
250	0.03919104225
251	0.03914654805
252	0.03908555597
253	0.03892930152
254	0.03878460405
255	0.03866354368
256	0.03855601058
257	0.03853928424
258	0.0382428867
259	0.03816477268
260	0.03806969664
261	0.0379556521
262	0.0377706642
263	0.03776654488
264	0.03765290058
265	0.03755969202
266	0.03740898719
267	0.0371128805
268	0.03698512691
269	0.03689336739
270	0.0368317582
271	0.03669441068
272	0.03652934003
273	0.03642330922
274	0.03629792353
275	0.03619997017
276	0.03613477882
277	0.03607130431
278	0.035874639
279	0.03574884854
280	0.03561393854
281	0.03541167366
282	0.03534396561
283	0.03528938687
284	0.03516483745
285	0.03503720593
286	0.03490905554
287	0.03473343508
288	0.03470525632
289	0.03466215592
290	0.03460423994
291	0.03450876916
292	0.03440229833
293	0.0343467118
294	0.03434168827
295	0.03428782913
296	0.03419591497
297	0.03414689184
298	0.03396265016
299	0.0338792952
